SIPRI Transfers Database 


 Database search results for buyer 'All Countries' and seller  'All Countries' and the years from 1950 to 1970 - (created: 09-03-2020)

Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
1929;United States;Mexico;Cessna-150;Trainer/light ac;Aircraft;1967;Yes;2;No;1968;No;New;0.1000;0.1000;0.2;No
1943;Soviet Union;Algeria;T-54;Tank;Armoured vehicles;1965;Yes;25;No;1966;No;Second hand;1.1000;0.44;11;No
1944;Soviet Union;Algeria;T-55;Tank;Armoured vehicles;1965;Yes;25;No;1966;No;New;1.2500;1.2500;31.25;No
1957;United States;Morocco;DC-3/C-47 Skytrain;Transport aircraft;Aircraft;1964;Yes;5;No;1966;No;Second hand;2.5000;1;5;No
1968;Soviet Union;Morocco;Il-28;Bomber aircraft;Aircraft;1960;Yes;2;No;1961;No;Second hand;7.2000;2.88;5.76;No
1972;Iraq;Morocco;Sea Fury;Fighter aircraft;Aircraft;1959;Yes;4;No;1960;No;Second hand;2.0000;0.8;3.2;No
1976;France;Morocco;MH-1521 Broussard;Light aircraft;Aircraft;1956;Yes;2;No;1957;No;New;0.3800;0.3800;0.76;No
1978;France;Morocco;Twin Bonanza;Light transport ac;Aircraft;1956;Yes;2;No;1956;No;Second hand;0.5000;0.2;0.4;No
2181;United States;Argentina;T-6 Texan;Trainer aircraft;Aircraft;1955;Yes;5;No;1956;No;Second hand;0.3200;0.128;0.64;No
2237;United States;Brazil;Cessna-210 Centurion;Light aircraft;Aircraft;1966;No;20;No;1966;No;New;0.2400;0.2400;4.8;No
2289;United Kingdom;Brunei;Wessex;Helicopter;Aircraft;1965;Yes;2;No;1967;No;Second hand;2.2500;0.9;1.8;No
1973;France;Morocco;MH-1521 Broussard;Light aircraft;Aircraft;1959;Yes;2;Yes;1959;Yes;New;0.3800;0.3800;0.76;No
1973;France;Morocco;MH-1521 Broussard;Light aircraft;Aircraft;1959;Yes;1;Yes;1960;Yes;New;0.3800;0.3800;0.38;No
2010;Italy;UAE;Bell-206/OH-58;Light helicopter;Aircraft;1967;Yes;4;Yes;1968;Yes;New;0.7000;0.7000;2.8;No
2021;Soviet Union;Afghanistan;T-54;Tank;Armoured vehicles;1961;Yes;16;Yes;1962;Yes;Second hand;1.1000;0.44;7.04;No
2021;Soviet Union;Afghanistan;T-54;Tank;Armoured vehicles;1961;Yes;17;Yes;1963;Yes;Second hand;1.1000;0.44;7.48;No
2021;Soviet Union;Afghanistan;T-54;Tank;Armoured vehicles;1961;Yes;17;Yes;1964;Yes;Second hand;1.1000;0.44;7.48;No
2099;Soviet Union;Algeria;BTR-152;APC;Armoured vehicles;1963;No;100;Yes;1964;Yes;Second hand;0.1300;0.052;5.2;No
2099;Soviet Union;Algeria;BTR-152;APC;Armoured vehicles;1963;No;125;Yes;1965;Yes;Second hand;0.1300;0.052;6.5;No
2099;Soviet Union;Algeria;BTR-152;APC;Armoured vehicles;1963;No;125;Yes;1966;Yes;Second hand;0.1300;0.052;6.5;No
2179;United States;Argentina;T-6 Texan;Trainer aircraft;Aircraft;1957;Yes;5;Yes;1959;Yes;Second hand;0.3200;0.128;0.64;No
2353;Soviet Union;Bulgaria;PT-76;Light tank;Armoured vehicles;1959;Yes;50;Yes;1960;Yes;New;0.9000;0.9000;45;No
2353;Soviet Union;Bulgaria;PT-76;Light tank;Armoured vehicles;1959;Yes;50;Yes;1961;Yes;New;0.9000;0.9000;45;No
2353;Soviet Union;Bulgaria;PT-76;Light tank;Armoured vehicles;1959;Yes;50;Yes;1962;Yes;New;0.9000;0.9000;45;No
2353;Soviet Union;Bulgaria;PT-76;Light tank;Armoured vehicles;1959;Yes;50;Yes;1963;Yes;New;0.9000;0.9000;45;No
2353;Soviet Union;Bulgaria;PT-76;Light tank;Armoured vehicles;1959;Yes;50;Yes;1964;Yes;New;0.9000;0.9000;45;No
2355;Soviet Union;Bulgaria;BTR-40;APC;Armoured vehicles;1954;Yes;50;Yes;1955;Yes;New;0.1200;0.1200;6;No
2355;Soviet Union;Bulgaria;BTR-40;APC;Armoured vehicles;1954;Yes;50;Yes;1956;Yes;New;0.1200;0.1200;6;No
2355;Soviet Union;Bulgaria;BTR-40;APC;Armoured vehicles;1954;Yes;50;Yes;1957;Yes;New;0.1200;0.1200;6;No
1950;Soviet Union;Libya;T-55;Tank;Armoured vehicles;1970;Yes;50;Yes;1970;No;New;1.2500;1.2500;62.5;No
