SIPRI Transfers Database 


 Database search results for buyer 'All Countries' and seller  'All Countries' and the years from 1971 to 1980 - (created: 09-03-2020)

Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
975;Soviet Union;Algeria;Project-205/Osa;FAC;Ships;1975;Yes;2;No;1977;No;Second hand;42.5000;17;34;No
975;Soviet Union;Algeria;Project-205/Osa;FAC;Ships;1975;Yes;2;No;1978;No;Second hand;42.5000;17;34;No
975;Soviet Union;Algeria;Project-205/Osa;FAC;Ships;1975;Yes;2;No;1979;No;Second hand;42.5000;17;34;No
1074;China;Cambodia;MiG-17;Fighter aircraft;Aircraft;1978;Yes;3;No;1978;No;Second hand;3.5000;1.4;4.2;No
1116;Germany;Portugal;G-91R;FGA aircraft;Aircraft;1976;No;14;No;1976;No;Second hand;3.5700;1.428;19.992;No
2685;Soviet Union;Czechoslovakia;Mi-24D/Mi-25;Combat helicopter;Aircraft;1977;Yes;4;No;1978;No;New;8.2500;8.2500;33;No
2685;Soviet Union;Czechoslovakia;Mi-24D/Mi-25;Combat helicopter;Aircraft;1977;Yes;10;Yes;1980;No;New;8.2500;8.2500;82.5;No
1279;United Kingdom;Greece;BN-2 Islander;Light transport ac;Aircraft;1977;No;2;No;1978;No;New;0.6000;0.6000;1.2;No
1287;United States;Malaysia;Bell-206/OH-58;Light helicopter;Aircraft;1975;No;5;No;1978;No;New;0.7000;0.7000;3.5;No
1302;United States;Saudi Arabia;C-130H Hercules;Transport aircraft;Aircraft;1976;No;7;No;1977;No;New;28.0000;28.0000;196;No
1302;United States;Saudi Arabia;C-130H Hercules;Transport aircraft;Aircraft;1976;No;10;No;1978;No;New;28.0000;28.0000;280;No
1378;United States;Belgium;M-752 Lance TEL;Mobile SSM launcher;Artillery;1975;No;2;No;1977;No;New;0.5000;0.5000;1;No
