SIPRI Transfers Database 


 Database search results for buyer 'All Countries' and seller  'All Countries' and the years from 1981 to 1990 - (created: 09-03-2020)

Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
1036;Italy;Ecuador;Esmeraldas;Corvette;Ships;1978;No;3;No;1983;No;New;75.2000;75.2000;225.6;No
1036;Italy;Ecuador;Esmeraldas;Corvette;Ships;1978;No;2;No;1984;No;New;75.2000;75.2000;150.4;No
1135;France;Spain;Agosta;Submarine;Ships;1975;No;2;No;1983;No;New;200.0000;200.0000;400;Yes
2685;Soviet Union;Czechoslovakia;Mi-24D/Mi-25;Combat helicopter;Aircraft;1977;Yes;10;Yes;1981;No;New;8.2500;8.2500;82.5;No
2685;Soviet Union;Czechoslovakia;Mi-24D/Mi-25;Combat helicopter;Aircraft;1977;Yes;2;No;1985;No;New;8.2500;8.2500;16.5;No
2685;Soviet Union;Czechoslovakia;Mi-24D/Mi-25;Combat helicopter;Aircraft;1977;Yes;4;Yes;1982;No;New;8.2500;8.2500;33;No
1187;United States;Italy;Bell-212/UH-1N;Helicopter;Aircraft;1981;No;4;Yes;1982;Yes;New;3.7000;3.7000;14.8;Yes
1788;Italy;Libya;Wadi;Corvette;Ships;1974;No;2;No;1981;No;New;70.2000;70.2000;140.4;No
37171;Italy;Colombia;Compact 76mm;Naval gun;Naval weapons;1975;Yes;1;No;1983;No;New;2.5000;2.5000;2.5;No
21189;Netherlands;Malaysia;DA-05;Air search radar;Sensors;1983;No;1;No;1985;Yes;New;6.5000;6.5000;6.5;No
37171;Italy;Colombia;Compact 76mm;Naval gun;Naval weapons;1975;Yes;3;No;1984;No;New;2.5000;2.5000;7.5;No
21189;Netherlands;Malaysia;DA-05;Air search radar;Sensors;1983;No;1;No;1987;Yes;New;6.5000;6.5000;6.5;No
2520;United States;Singapore;F-5E Tiger-2;FGA aircraft;Aircraft;1980;No;6;No;1981;No;New;10.5000;10.5000;63;No
2610;United States;Taiwan;Gearing FRAM-1;Destroyer;Ships;1981;No;2;No;1981;No;Second hand;145.0000;58;116;No
2613;Italy;Thailand;Chon Buri;Patrol craft/FAC;Ships;1979;No;2;No;1983;No;New;54.5000;54.5000;109;No
2637;Canada;France;DHC-6 Twin Otter;Transport aircraft;Aircraft;1979;Yes;2;No;1981;No;New;2.5000;2.5000;5;No
1041;United States;Italy;S-61R;Transport helicopter;Aircraft;1972;No;3;Yes;1981;No;New;6.5000;6.5000;19.5;Yes
1041;United States;Italy;S-61R;Transport helicopter;Aircraft;1972;No;4;Yes;1982;No;New;6.5000;6.5000;26;Yes
2811;United Kingdom;Jordan;Bulldog;Trainer aircraft;Aircraft;1980;No;5;No;1981;No;New;0.2200;0.2200;1.1;No
1187;United States;Italy;Bell-212/UH-1N;Helicopter;Aircraft;1981;No;4;Yes;1983;No;New;3.7000;3.7000;14.8;Yes
1204;United States;Sweden;BGM-71 TOW;Anti-tank missile;Missiles;1980;No;500;Yes;1982;No;New;0.0100;0.0100;5;No
2890;United Kingdom;Zimbabwe;Hawk-60;Trainer/combat ac;Aircraft;1980;No;8;No;1982;No;New;9.0000;9.0000;72;No
3054;United Kingdom;Indonesia;Hawk-50;Trainer/combat ac;Aircraft;1981;No;4;No;1981;No;New;8.5000;8.5000;34;No
3156;United States;Venezuela;Bell-412;Helicopter;Aircraft;1980;Yes;2;No;1981;No;New;5.0000;5.0000;10;No
